ts,open,high,low,close,volume
1737328200000,3240.93,3243.9,3192.84,3196.47,4286.320889
1737328500000,3196.47,3226.3,3178.44,3189.38,3340.423706
1737328800000,3189.37,3228.56,3187.19,3205.28,2719.827732
1737329100000,3205.28,3208.8,3160.04,3173.43,14190.666102
1737329400000,3172.98,3225.0,3161.57,3223.53,6832.151472
1737329700000,3224.3,3224.85,3171.16,3172.56,3032.206232
1737330000000,3172.31,3227.42,3171.01,3218.0,2847.845412
1737330300000,3218.1,3240.6,3214.9,3233.7,2515.342072
1737330600000,3233.94,3233.94,3204.2,3207.22,1913.253717
1737330900000,3207.22,3220.0,3196.72,3215.35,1488.161718
1737331200000,3215.2,3219.63,3182.0,3205.19,3747.519302
1737331500000,3205.09,3225.98,3203.04,3207.67,2616.727333
1737331800000,3207.79,3220.14,3198.05,3213.61,1502.123732
1737332100000,3214.0,3220.39,3192.16,3192.16,1259.17228
1737332400000,3192.16,3210.93,3182.74,3206.16,2054.960944
1737332700000,3206.13,3211.0,3181.73,3186.01,1545.655814
1737333000000,3185.97,3202.42,3170.77,3190.84,1839.264813
1737333300000,3190.83,3199.29,3156.36,3169.33,2887.610378
1737333600000,3169.33,3199.03,3157.42,3193.95,3566.676568
1737333900000,3194.09,3195.97,3142.4,3153.31,5582.854328
1737334200000,3153.31,3188.07,3151.64,3176.21,2598.415006
1737334500000,3176.2,3182.07,3163.86,3170.91,2239.525863
1737334800000,3171.3,3195.58,3165.77,3185.06,1490.075131
1737335100000,3184.88,3211.16,3176.47,3200.23,2565.424406
1737335400000,3200.14,3209.08,3189.66,3204.75,1696.612289
1737335700000,3204.75,3213.32,3192.16,3199.6,1445.796318
1737336000000,3199.39,3199.86,3175.31,3197.09,1575.010088
1737336300000,3197.07,3203.59,3185.87,3195.46,883.1358
1737336600000,3195.17,3208.9,3185.01,3207.49,1497.649701
1737336900000,3207.5,3221.15,3204.39,3209.5,1379.451155
1737337200000,3209.79,3211.49,3179.81,3184.27,1395.78728
1737337500000,3183.99,3197.99,3181.74,3186.8,1056.4237
1737337800000,3187.07,3189.29,3172.54,3183.59,1217.938872
1737338100000,3183.95,3201.83,3181.4,3201.3,970.466857
1737338400000,3201.2,3226.81,3196.78,3220.32,1470.014574
1737338700000,3220.32,3233.33,3215.44,3225.9,851.934867
1737339000000,3225.89,3234.12,3224.2,3227.59,1038.555517
1737339300000,3227.71,3247.76,3224.52,3246.08,3008.835958
1737339600000,3246.07,3257.9,3240.0,3256.41,2328.280871
1737339900000,3256.4,3269.0,3246.63,3267.61,1821.620215
1737340200000,3267.96,3274.98,3261.85,3271.57,1439.368341
1737340500000,3271.5,3273.29,3251.64,3258.9,1363.47505
1737340800000,3258.69,3258.8,3234.4,3238.7,1209.863987
1737341100000,3239.26,3250.47,3232.92,3248.24,1162.44375
1737341400000,3248.61,3262.13,3243.6,3246.49,1445.700293
1737341700000,3246.49,3258.74,3241.1,3245.06,1521.793866
1737342000000,3245.1,3248.06,3227.79,3242.69,1166.367328
1737342300000,3242.83,3250.0,3237.11,3241.3,459.623523
1737342600000,3241.3,3256.65,3239.03,3252.38,585.157322
1737342900000,3252.71,3272.15,3248.31,3268.48,1369.594039
1737343200000,3268.99,3277.68,3252.33,3256.51,1263.780943
1737343500000,3256.5,3259.12,3242.85,3248.38,737.833492
1737343800000,3248.31,3263.63,3244.25,3262.47,462.875536
